timestamp,Sonar_normal,Sonar_abnormal,Thruster_normal,Thruster_abnormal
1774864602.684,1.000,0.000,1.000,0.000
1774864602.694,0.000,1.000,1.000,0.000
1774864602.704,0.000,1.000,1.000,0.000
1774864602.715,0.000,1.000,1.000,0.000
1774864602.725,0.000,1.000,1.000,0.000
1774864602.735,0.000,1.000,0.661,0.339
1774864602.745,0.000,1.000,1.000,0.000
1774864602.755,0.000,1.000,1.000,0.000
1774864602.766,0.000,1.000,1.000,0.000
1774864602.776,0.000,1.000,1.000,0.000
1774864602.786,0.000,1.000,0.995,0.005
1774864602.796,0.000,1.000,1.000,0.000
1774864602.807,0.000,1.000,1.000,0.000
1774864602.817,0.000,1.000,0.933,0.067
1774864602.827,0.000,1.000,1.000,0.000
1774864602.837,0.000,1.000,1.000,0.000
1774864602.848,0.000,1.000,0.835,0.165
1774864602.858,0.000,1.000,1.000,0.000
1774864602.868,0.000,1.000,0.738,0.262
1774864602.878,0.000,1.000,1.000,0.000
1774864602.889,0.000,1.000,1.000,0.000
1774864602.899,0.000,1.000,1.000,0.000
1774864602.909,1.000,0.000,1.000,0.000
1774864602.919,1.000,0.000,0.963,0.037
1774864602.930,1.000,0.000,0.660,0.340
1774864602.940,0.668,0.332,1.000,0.000
1774864602.950,1.000,0.000,1.000,0.000
1774864602.960,1.000,0.000,1.000,0.000
1774864602.971,1.000,0.000,1.000,0.000
1774864602.981,0.663,0.337,1.000,0.000
1774864602.991,1.000,0.000,1.000,0.000
1774864603.001,1.000,0.000,1.000,0.000
1774864603.012,1.000,0.000,1.000,0.000
1774864603.022,1.000,0.000,1.000,0.000
1774864603.032,1.000,0.000,1.000,0.000
1774864603.042,1.000,0.000,1.000,0.000
1774864603.053,1.000,0.000,0.873,0.127
1774864603.063,1.000,0.000,1.000,0.000
1774864603.073,0.000,1.000,1.000,0.000
1774864603.083,0.000,1.000,1.000,0.000
1774864603.093,0.000,1.000,1.000,0.000
1774864603.104,0.000,1.000,1.000,0.000
1774864603.114,0.000,1.000,1.000,0.000
1774864603.124,0.000,1.000,1.000,0.000
1774864603.134,0.000,1.000,1.000,0.000
1774864603.145,0.000,1.000,1.000,0.000
1774864603.155,0.000,1.000,1.000,0.000
1774864603.165,0.000,1.000,1.000,0.000
1774864603.175,1.000,0.000,1.000,0.000
1774864603.186,0.989,0.011,1.000,0.000
1774864603.196,0.000,1.000,0.970,0.030
1774864603.206,0.000,1.000,1.000,0.000
1774864603.216,0.000,1.000,1.000,0.000
1774864603.227,0.000,1.000,0.508,0.492
1774864603.237,0.000,1.000,1.000,0.000
1774864603.247,0.011,0.989,1.000,0.000
1774864603.257,0.000,1.000,1.000,0.000
1774864603.268,0.000,1.000,1.000,0.000
1774864603.278,0.000,1.000,0.680,0.320
1774864603.288,0.000,1.000,1.000,0.000
1774864603.298,0.000,1.000,0.756,0.244
1774864603.309,0.000,1.000,1.000,0.000
1774864603.319,0.000,1.000,1.000,0.000
1774864603.329,0.000,1.000,1.000,0.000
1774864603.339,0.000,1.000,1.000,0.000
1774864603.350,0.010,0.990,0.940,0.060
1774864603.360,0.000,1.000,1.000,0.000
1774864603.370,0.000,1.000,1.000,0.000
1774864603.380,0.000,1.000,1.000,0.000
1774864603.390,0.000,1.000,0.654,0.346
1774864603.401,0.000,1.000,1.000,0.000
1774864603.411,0.000,1.000,1.000,0.000
1774864603.421,0.000,1.000,1.000,0.000
1774864603.431,0.000,1.000,1.000,0.000
1774864603.442,1.000,0.000,1.000,0.000
1774864603.452,1.000,0.000,1.000,0.000
1774864603.462,1.000,0.000,1.000,0.000
1774864603.472,1.000,0.000,1.000,0.000
1774864603.483,1.000,0.000,1.000,0.000
1774864603.493,1.000,0.000,1.000,0.000
1774864603.503,1.000,0.000,1.000,0.000
1774864603.513,0.607,0.393,1.000,0.000
1774864603.524,1.000,0.000,1.000,0.000
1774864603.534,0.000,1.000,1.000,0.000
1774864603.544,0.000,1.000,1.000,0.000
1774864603.554,0.000,1.000,1.000,0.000
1774864603.565,0.000,1.000,1.000,0.000
1774864603.575,0.000,1.000,1.000,0.000
1774864603.585,0.000,1.000,1.000,0.000
1774864603.595,0.000,1.000,1.000,0.000
1774864603.606,0.000,1.000,1.000,0.000
1774864603.616,0.000,1.000,0.706,0.294
1774864603.626,0.000,1.000,0.815,0.185
1774864603.636,0.000,1.000,1.000,0.000
1774864603.647,0.000,1.000,1.000,0.000
1774864603.657,0.000,1.000,1.000,0.000
1774864603.667,0.000,1.000,1.000,0.000
1774864603.677,0.000,1.000,1.000,0.000
